"","election_date","state","county_name","jurisdiction","jurisdiction_type","precinct_id","precinct_name","polling_place_id","location_type","name","address","notes","source","source_date","source_notes","location_category"
"28","2020-11-03","PA","ADAMS","ADAMS","county","27-1","HAMILTONBAN",NA,"election_day","HAMILTONBAN TWP BLDG","23 CARROLLS TRACT RD, FAIRFIELD, PA 17320","27","ORR","2020-11-02",NA,"GOV BLDG"
"29","2020-11-03","PA","ADAMS","ADAMS","county","28-1","HIGHLAND",NA,"election_day","HIGHLAND TWP MUNIC BLDG","3641 FAIRFIELD RD, GETTYSBURG, PA 17325","28","ORR","2020-11-02",NA,"GOV BLDG"
"30","2020-11-03","PA","ADAMS","ADAMS","county","29-1","HUNTINGTON",NA,"election_day","HUNTINGTON TWP MUNIC BLDG","750 TROLLEY RD, YORK SPRINGS, PA 17372","29","ORR","2020-11-02",NA,"GOV BLDG"
"31","2020-11-03","PA","ADAMS","ADAMS","county","31-1","LATIMORE",NA,"election_day","LATIMORE TWP MUNIC BLDG","559 OLD ROUTE 15, YORK SPRINGS, PA 17372","31","ORR","2020-11-02",NA,"GOV BLDG"
"32","2020-11-03","PA","ADAMS","ADAMS","county","32-1","LIBERTY",NA,"election_day","LIBERTY TWP MUNIC BLDG","39 TOPPER RD, FAIRFIELD, PA 17320","32","ORR","2020-11-02",NA,"GOV BLDG"
"33","2020-11-03","PA","ADAMS","ADAMS","county","33-1","LITTLESTOWN #1",NA,"election_day","Y.M.C.A.","95 KEYSTONE ST, LITTLESTOWN, PA 17340","33","ORR","2020-11-02",NA,"RELIGIOUS"
"34","2020-11-03","PA","ADAMS","ADAMS","county","34-1","LITTLESTOWN #2",NA,"election_day","LITTLESTOWN AREA SENIOR CENTER","10 E LOCUST ST, LITTLESTOWN, PA 17340","34","ORR","2020-11-02",NA,"SENIOR"
"35","2020-11-03","PA","ADAMS","ADAMS","county","35-1","MCSHERRYSTOWN #1",NA,"election_day","KNIGHTS OF COLUMBUS DINING HALL","342 MAIN ST, MCSHERRYSTOWN, PA 17344","35","ORR","2020-11-02",NA,"RELIGIOUS"
"36","2020-11-03","PA","ADAMS","ADAMS","county","36-1","MCSHERRYSTOWN #2",NA,"election_day","KNIGHTS OF COLUMBUS DINING HALL","342 MAIN ST, MCSHERRYSTOWN, PA 17344","36","ORR","2020-11-02",NA,"RELIGIOUS"
"37","2020-11-03","PA","ADAMS","ADAMS","county","37-1","MENALLEN",NA,"election_day","MENALLEN TOWNSHIP BUILDING","170 MEMORY LN, ASPERS, PA 17304","37","ORR","2020-11-02",NA,"GOV BLDG"
"38","2020-11-03","PA","ADAMS","ADAMS","county","38-1","MT JOY #1",NA,"election_day","MT JOY TWP MUNIC BLDG","902 HOFFMAN HOME RD, GETTYSBURG, PA 17325","38","ORR","2020-11-02",NA,"GOV BLDG"
"39","2020-11-03","PA","ADAMS","ADAMS","county","38-2","MT JOY #1",NA,"election_day","MT JOY TWP MUNIC BLDG","902 HOFFMAN HOME RD, GETTYSBURG, PA 17325","38","ORR","2020-11-02",NA,"GOV BLDG"
"40","2020-11-03","PA","ADAMS","ADAMS","county","39-1","MT JOY #2",NA,"election_day","MT JOY TWP MUNIC BLDG","902 HOFFMAN HOME RD, GETTYSBURG, PA 17325","39","ORR","2020-11-02",NA,"GOV BLDG"
"41","2020-11-03","PA","ADAMS","ADAMS","county","39-2","MT JOY #2",NA,"election_day","MT JOY TWP MUNIC BLDG","902 HOFFMAN HOME RD, GETTYSBURG, PA 17325","39","ORR","2020-11-02",NA,"GOV BLDG"
"42","2020-11-03","PA","ADAMS","ADAMS","county","40-1","MT PLEASANT #1",NA,"election_day","MT PLEASANT TWP MUNIC BLDG","1035 BECK RD, GETTYSBURG, PA 17325","40","ORR","2020-11-02",NA,"GOV BLDG"
"43","2020-11-03","PA","ADAMS","ADAMS","county","40-2","MT PLEASANT #1",NA,"election_day","MT PLEASANT TWP MUNIC BLDG","1035 BECK RD, GETTYSBURG, PA 17325","40","ORR","2020-11-02",NA,"GOV BLDG"
"44","2020-11-03","PA","ADAMS","ADAMS","county","41-1","MT PLEASANT #2",NA,"election_day","MT PLEASANT TWP MAINTENANCE BLDG","1016 BECK RD, GETTYSBURG, PA 17325","41","ORR","2020-11-02",NA,"GOV BLDG"
"45","2020-11-03","PA","ADAMS","ADAMS","county","42-1","NEW OXFORD",NA,"election_day","NEW OXFORD FIRE HALL","21 N BOLTON ST, NEW OXFORD, PA 17350","42","ORR","2020-11-02",NA,"FIRE DEPT"
"46","2020-11-03","PA","ADAMS","ADAMS","county","43-1","OXFORD #1",NA,"election_day","OXFORD TWP MUNIC BLDG","780 HANOVER ST, NEW OXFORD, PA 17350","43","ORR","2020-11-02",NA,"GOV BLDG"
"47","2020-11-03","PA","ADAMS","ADAMS","county","44-1","OXFORD #2",NA,"election_day","IRISHTOWN FIRE COMPANY","934 IRISHTOWN RD, NEW OXFORD, PA 17350","44","ORR","2020-11-02",NA,"FIRE DEPT"
"48","2020-11-03","PA","ADAMS","ADAMS","county","45-1","READING #1",NA,"election_day","HAMPTON FIRE HALL","5371 CARLISLE PIKE, NEW OXFORD, PA 17350","45","ORR","2020-11-02",NA,"FIRE DEPT"
"49","2020-11-03","PA","ADAMS","ADAMS","county","46-1","READING #2",NA,"election_day","HAMPTON FIRE HALL","5371 CARLISLE PIKE, NEW OXFORD, PA 17350","46","ORR","2020-11-02",NA,"FIRE DEPT"
"50","2020-11-03","PA","ADAMS","ADAMS","county","47-1","STRABAN #1",NA,"election_day","DEPT OF EMERGENCY SERVICES","230 GREENAMYER LANE, GETTYSBURG, PA 17325","47","ORR","2020-11-02",NA,"OTHER"
"51","2020-11-03","PA","ADAMS","ADAMS","county","48-1","STRABAN #2",NA,"election_day","STRABAN TWP MUNIC BLDG","1745 GRANITE STATION RD, GETTYSBURG, PA 17325","48","ORR","2020-11-02",NA,"GOV BLDG"
"52","2020-11-03","PA","ADAMS","ADAMS","county","48-2","STRABAN #2",NA,"election_day","STRABAN TWP MUNIC BLDG","1745 GRANITE STATION RD, GETTYSBURG, PA 17325","48","ORR","2020-11-02",NA,"GOV BLDG"
"53","2020-11-03","PA","ADAMS","ADAMS","county","49-1","TYRONE",NA,"election_day","HEIDLERSBURG FIRE HALL","2720 HEIDLERSBURG RD, GETTYSBURG, PA 17325","49","ORR","2020-11-02",NA,"FIRE DEPT"
"54","2020-11-03","PA","ADAMS","ADAMS","county","49-2","TYRONE",NA,"election_day","HEIDLERSBURG FIRE HALL","2720 HEIDLERSBURG RD, GETTYSBURG, PA 17325","49","ORR","2020-11-02",NA,"FIRE DEPT"
"55","2020-11-03","PA","ADAMS","ADAMS","county","50-1","UNION",NA,"election_day","LITTLESTOWN CHAPEL AUDITORIUM","1144 BOLLINGER RD, LITTLESTOWN, PA 17340","50","ORR","2020-11-02",NA,"RELIGIOUS"
"56","2020-11-03","PA","ADAMS","ADAMS","county","51-1","YORK SPRINGS",NA,"election_day","FIRE CO COMMUNITY BLDG","312 MAIN ST, YORK SPRINGS, PA 17372","51","ORR","2020-11-02",NA,"FIRE DEPT"
"57","2020-11-03","PA","ADAMS","ADAMS","county","52-1","READING #3",NA,"election_day","LAKE MEADE FIRE STATION","492 LAKE MEADE DR, EAST BERLIN, PA 17316","52","ORR","2020-11-02",NA,"GOV BLDG"
"58","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1010001-1","ALEPPO 00 01",NA,"election_day","ALEPPO TOWNSHIP  MUNICIPAL BUILDING","100 NORTH DR, SEWICKLEY, PA 15143","1010001","ORR","2020-11-02",NA,"GOV BLDG"
"59","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1020001-1","ASPINWALL 00 01",NA,"election_day","ASPINWALL MUNICIPAL BUILDING","217 COMMERCIAL AVE, ASPINWALL, PA 15215","1020001","ORR","2020-11-02",NA,"FIRE DEPT"
"60","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1020002-1","ASPINWALL 00 02",NA,"election_day","ASPINWALL FIRE DEPARTMENT #2","201 12TH ST, ASPINWALL, PA 15215","1020002","ORR","2020-11-02",NA,"GOV BLDG"
"61","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1020003-1","ASPINWALL 00 03",NA,"election_day","ST SCHOLASTICA SCHOOL","300 MAPLE AVE, ASPINWALL, PA 15215","1020003","ORR","2020-11-02",NA,"LIBRARY"
"62","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1030100-1","AVALON 01 00",NA,"election_day","AVALON MUNICIPAL BUILDING","640 CALIFORNIA AVE, PITTSBURGH, PA 15202","1030100","ORR","2020-11-02",NA,"RELIGIOUS"
"63","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1030201-1","AVALON 02 01",NA,"election_day","AVALON PUBLIC LIBRARY - CONFERENCE ROOM","317 S HOME AVE, PITTSBURGH, PA 15202","1030201","ORR","2020-11-02",NA,"SCHOOL"
"64","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1030202-1","AVALON 02 02",NA,"election_day","EPIPHANY CHURCH 1ST FLOOR (CALIFORNIA ENTRANCE)","336 S HOME AVE, PITTSBURGH, PA 15202","1030202","ORR","2020-11-02",NA,"RELIGIOUS"
"65","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1030301-1","AVALON 03 01",NA,"election_day","AVALON ELEMENTARY SCHOOL","721 CALIFORNIA AVE, PITTSBURGH, PA 15202","1030301","ORR","2020-11-02",NA,"RELIGIOUS"
"66","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1030302-1","AVALON 03 02",NA,"election_day","GREENSTONE UNITED METHODIST CHURCH","939 CALIFORNIA AVE, PITTSBURGH, PA 15202","1030302","ORR","2020-11-02",NA,"RELIGIOUS"
"67","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1030303-1","AVALON 03 03",NA,"election_day","GREENSTONE UNITED METHODIST CHURCH","939 CALIFORNIA AVE, PITTSBURGH, PA 15202","1030303","ORR","2020-11-02",NA,"RELIGIOUS"
"68","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040001-1","BALDWIN BR 00 01",NA,"election_day","ST ALBERT THE GREAT","3198 SCHIECK AVE, PITTSBURGH, PA 15227","1040001","ORR","2020-11-02",NA,"GOV BLDG"
"69","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040002-1","BALDWIN BR 00 02",NA,"election_day","ST ALBERT THE GREAT","3198 SCHIECK ST, PITTSBURGH, PA 15227","1040002","ORR","2020-11-02",NA,"RELIGIOUS"
"70","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040003-1","BALDWIN BR 00 03",NA,"election_day","BALDWIN BOROUGH MUNICIPAL BUILDING","3344 CHURCHVIEW AVE, PITTSBURGH, PA 15236","1040003","ORR","2020-11-02",NA,"FIRE DEPT"
"71","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040004-1","BALDWIN BR 00 04",NA,"election_day","ST ALBERT THE GREAT","3198 SCHIECK ST, PITTSBURGH, PA 15227","1040004","ORR","2020-11-02",NA,"SCHOOL"
"72","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040005-1","BALDWIN BR 00 05",NA,"election_day","OPTION INDEPENDENT FIRE CO.","825 STREETS RUN RD, PITTSBURGH, PA 15236","1040005","ORR","2020-11-02",NA,"SCHOOL"
"73","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040006-1","BALDWIN BR 00 06",NA,"election_day","MCANNULTY ELEMENTARY SCHOOL","5151 MCANNULTY RD, PITTSBURGH, PA 15236","1040006","ORR","2020-11-02",NA,"OTHER"
"74","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040007-1","BALDWIN BR 00 07",NA,"election_day","BALDWIN BORO PUBLIC LIBRARY-MEETING RROM","5230 WOLFE DR, PITTSBURGH, PA 15236","1040007","ORR","2020-11-02",NA,"RELIGIOUS"
"75","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040008-1","BALDWIN BR 00 08",NA,"election_day","MCANNULTY ELEMENTARY SCHOOL","5151 MCANNULTY RD, PITTSBURGH, PA 15236","1040008","ORR","2020-11-02",NA,"SCHOOL"
"76","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040009-1","BALDWIN BR 00 09",NA,"election_day","WALLACE BUILDING","41 MACEK DR, PITTSBURGH, PA 15227","1040009","ORR","2020-11-02",NA,"SCHOOL"
"77","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040010-1","BALDWIN BR 00 10",NA,"election_day","BALDWIN BORO PUBLIC LIBRARY","5230 WOLFE DR, PITTSBURGH, PA 15236","1040010","ORR","2020-11-02",NA,"SCHOOL"
"78","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040011-1","BALDWIN BR 00 11",NA,"election_day","BALDWIN BORO PUBLIC LIBRARY","5230 WOLFE DR, PITTSBURGH, PA 15236","1040011","ORR","2020-11-02",NA,"GOV BLDG"
"79","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040012-1","BALDWIN BR 00 12",NA,"election_day","ST ALBERT THE GREAT","3198 SCHIECK ST, PITTSBURGH, PA 15227","1040012","ORR","2020-11-02",NA,"SCHOOL"
"80","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040013-1","BALDWIN BR 00 13",NA,"election_day","W.R. PAYNTER ELEMENTARY SCHOOL","3454 PLEASANTVUE DR, PITTSBURGH, PA 15227","1040013","ORR","2020-11-02",NA,"OTHER"
"81","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040014-1","BALDWIN BR 00 14",NA,"election_day","MCANNULTY ELEMENTARY SCHOOL","5151 MCANNULTY RD, PITTSBURGH, PA 15236","1040014","ORR","2020-11-02",NA,"GOV BLDG"
"82","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040015-1","BALDWIN BR 00 15",NA,"election_day","W.R. PAYNTER ELEMENTARY SCHOOL","3454 PLEASANTVUE DR, PITTSBURGH, PA 15227","1040015","ORR","2020-11-02",NA,"GOV BLDG"
"83","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040016-1","BALDWIN BR 00 16",NA,"election_day","BALDWIN BOROUGH MUNICIPAL BUILDING","3344 CHURCHVIEW AVE EXT AVE, PITTSBURGH, PA 15227","1040016","ORR","2020-11-02",NA,"FIRE DEPT"
"84","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040017-1","BALDWIN BR 00 17",NA,"election_day","MCANNULTY ELEMENTARY SCHOOL","5151 MCANNULTY RD, PITTSBURGH, PA 15236","1040017","ORR","2020-11-02",NA,"SCHOOL"
"85","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1040018-1","BALDWIN BR 00 18",NA,"election_day","WALLACE BUILDING","41 MACEK DR, PITTSBURGH, PA 15227","1040018","ORR","2020-11-02",NA,"RELIGIOUS"
"86","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1050001-1","BALDWIN TP 00 01",NA,"election_day","MUNICIPAL BUILDING UPPER LEVEL","10 COMMUNITY PARK DR, PITTSBURGH, PA 15234","1050001","ORR","2020-11-02",NA,"SCHOOL"
"87","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1050002-1","BALDWIN TP 00 02",NA,"election_day","MUNICIPAL BUILDING UPPER LEVEL","10 COMMUNITY PARK DR, PITTSBURGH, PA 15234","1050002","ORR","2020-11-02",NA,"OTHER"
"88","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1060001-1","BELL ACRES 00 01",NA,"election_day","BELL ACRES VFC","1850 BIG SEWICKLEY CREEK RD, SEWICKLEY, PA 15143","1060001","ORR","2020-11-02",NA,"GOV BLDG"
"89","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1070101-1","BELLEVUE 01 01",NA,"election_day","BELLEVUE ELEMENTARY SCHOOL","435 BELLEVUE, PITTSBURGH, PA 15202","1070101","ORR","2020-11-02",NA,"GOV BLDG"
"90","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1070102-1","BELLEVUE 01 02",NA,"election_day","NEW LIFE COMMUNITY CHURCH","45 N FREMONT AVE, PITTSBURGH, PA 15202","1070102","ORR","2020-11-02",NA,"CLUB"
"91","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1070201-1","BELLEVUE 02 01",NA,"election_day","BELLEVUE ELEMENTARY SCHOOL","435 LINCOLN AVE, PITTSBURGH, PA 15202","1070201","ORR","2020-11-02",NA,"PUB CENTER"
"92","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1070202-1","BELLEVUE 02 02",NA,"election_day","CENTER OF BELLEVUE","2 N SPRAGUE ST, PITTSBURGH, PA 15202","1070202","ORR","2020-11-02",NA,"SCHOOL"
"93","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1070301-1","BELLEVUE 03 01",NA,"election_day","BELLEVUE BOROUGH COUNCIL CHAMBERS","537 BAYNE AVE, PITTSBURGH, PA 15202","1070301","ORR","2020-11-02",NA,"SCHOOL"
"94","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1070302-1","BELLEVUE 03 02",NA,"election_day","BELLEVUE BOROUGH COUNCIL CHAMBERS","537 BAYNE AVE, PITTSBURGH, PA 15202","1070302","ORR","2020-11-02",NA,"FIRE DEPT"
"95","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1080001-1","BEN AVON 00 01",NA,"election_day","BEN AVON BORO FIRE STATION 1ST FL","7219 CHURCH AVE, PITTSBURGH, PA 15202","1080001","ORR","2020-11-02",NA,"SCHOOL"
"96","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1080002-1","BEN AVON 00 02",NA,"election_day","BEN AVON BORO FIRE STATION 1ST FL","7219 CHURCH AVE, PITTSBURGH, PA 15202","1080002","ORR","2020-11-02",NA,"SCHOOL"
"97","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1090001-1","BEN AVON HT 00 01",NA,"election_day","SHANNOPIN COUNTRY CLUB","1 WINDMERE RD, PITTSBURGH, PA 15202","1090001","ORR","2020-11-02",NA,"SCHOOL"
"98","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1100101-1","BETHEL PARK 01 01",NA,"election_day","BETHEL PARK COMMUNITY CENTER","5151 PARK AVE, BETHEL PARK, PA 15102","1100101","ORR","2020-11-02",NA,"RELIGIOUS"
"99","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1100102-1","BETHEL PARK 01 02",NA,"election_day","BENJAMIN FRANKLIN SCHOOL GYM","5400 FLORIDA AVE, BETHEL PARK, PA 15102","1100102","ORR","2020-11-02",NA,"RELIGIOUS"
"100","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1100103-1","BETHEL PARK 01 03",NA,"election_day","BENJAMIN FRANKLIN SCHOOL GYM","5400 FLORIDA AVE, BETHEL PARK, PA 15102","1100103","ORR","2020-11-02",NA,"RELIGIOUS"
"101","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1100201-1","BETHEL PARK 02 01",NA,"election_day","BETHEL PARK VOLUNTEER FIRE CO-CLIFTON STATION","1100 CLIFTON RD, BETHEL PARK, PA 15102","1100201","ORR","2020-11-02",NA,"PUB CENTER"
"102","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1100202-1","BETHEL PARK 02 02",NA,"election_day","NEIL ARMSTRONG 5/6 MIDDLE SCHOOL","5800 MURRAY AVE, BETHEL PARK, PA 15102","1100202","ORR","2020-11-02",NA,"PUB CENTER"
"103","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1100203-1","BETHEL PARK 02 03",NA,"election_day","NEIL ARMSTRONG 5/6 MIDDLE SCHOOL","5800 MURRAY AVE, BETHEL PARK, PA 15102","1100203","ORR","2020-11-02",NA,"SCHOOL"
"104","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1100301-1","BETHEL PARK 03 01",NA,"election_day","GEORGE WASHINGTON ELEMENTARY GYM","515 CLIFTON RD, BETHEL PARK, PA 15102","1100301","ORR","2020-11-02",NA,"FIRE DEPT"
"105","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1100302-1","BETHEL PARK 03 02",NA,"election_day","RUTHFRED LUTHERAN CHURCH","3401 SOUTH PARK RD, BETHEL PARK, PA 15102","1100302","ORR","2020-11-02",NA,"RELIGIOUS"
"106","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1100303-1","BETHEL PARK 03 03",NA,"election_day","JOHN MCMILLAN PRESBYTERIAN CHURCH","875 CLIFTON RD, BETHEL PARK, PA 15102","1100303","ORR","2020-11-02",NA,"RELIGIOUS"
"107","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1100401-1","BETHEL PARK 04 01",NA,"election_day","HAMILTON PRESBYTERIAN CHURCH","4500 HAMILTON RD, BETHEL PARK, PA 15236","1100401","ORR","2020-11-02",NA,"RELIGIOUS"
"108","2020-11-03","PA","ALLEGHENY","ALLEGHENY","county","1100402-1","BETHEL PARK 04 02",NA,"election_day","BETHEL PARK COMMUNITY CENTER RM A","5151 PARK AVE, BETHEL PARK, PA 15102","1100402","ORR","2020-11-02",NA,"RELIGIOUS"
